previous_question,previous_answer,schema_linking,question,answer
What is the content of innovation with ID 456?,SELECT ImprovementContent FROM Jidouka WHERE JidoukaId = 456;,"{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.JidoukaId], Foreign keys: [], Possible cell values: [456]}",Who created this innovation?,SELECT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE Jidouka.JidoukaId = 456;
Which tools were used for the innovation with ID 789?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 789;,"{Tables: [Tool, JidoukaTool], Columns: [Tool.ToolName, JidoukaTool.JidoukaId, JidoukaTool.ToolId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId], Possible cell values: [789]}",What is the description of these tools?,"SELECT Tool.ToolName, Tool.ToolDescription FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId WHERE JidoukaTool.JidoukaId = 789;"
What innovations were launched in 2023?,"SELECT ImprovementContent, DateCreate FROM Jidouka WHERE YEAR(DateCreate) = 2023;","{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.DateCreate], Foreign keys: [], Possible cell values: [2023]}",Who created these innovations?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId WHERE YEAR(Jidouka.DateCreate) = 2023;
List all authors associated with the department 'Research'.,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE LOWER(Department.DepartmentName) LIKE LOWER('%research%');,"{Tables: [Author, Jidouka, Department], Columns: [Author.AuthorName, Jidouka.AuthorId, Jidouka.DepartmentId, Department.DepartmentId, Department.DepartmentName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId, Jidouka.DepartmentId=Department.DepartmentId], Possible cell values: [Research]}",Which innovations did these authors create?,"SELECT Jidouka.ImprovementContent, Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN Department ON Jidouka.DepartmentId = Department.DepartmentId WHERE LOWER(Department.DepartmentName) LIKE LOWER('%research%');"
How many countries are there in the world?,There are 195 countries in the world.,,Which is the largest country by area?,Russia is the largest country by area.
What are the tools linked to innovations involving the task type 'Analysis'?,SELECT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE LOWER(Jidouka.JobName) LIKE '%analysis%';,"{Tables: [Tool, JidoukaTool, Jidouka], Columns: [Tool.ToolName, JidoukaTool.ToolId, JidoukaTool.JidoukaId, Jidouka.JobName, Jidouka.JidoukaId], Foreign keys: [JidoukaTool.ToolId=Tool.ToolId, JidoukaTool.JidoukaId=Jidouka.JidoukaId], Possible cell values: [Analysis]}",What are the details of these tools?,"SELECT Tool.ToolName, Tool.ToolDescription FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE LOWER(Jidouka.JobName) LIKE '%analysis%';"
What is the capital of France?,The capital of France is Paris.,,How about Japan?,The capital of Japan is Tokyo.
Which innovations saved more than 100 hours?,"SELECT ImprovementContent, TotalTimeSaved FROM Jidouka WHERE TotalTimeSaved > 100;","{Tables: [Jidouka], Columns: [Jidouka.ImprovementContent, Jidouka.TotalTimeSaved], Foreign keys: [], Possible cell values: [>100]}",What jobs were associated with these innovations?,"SELECT Job.JobName, Jidouka.ImprovementContent FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId WHERE Jidouka.TotalTimeSaved > 100;"
Who are the employees linked to team 'Development A'?,SELECT DISTINCT Author.AuthorName FROM Author JOIN Jidouka ON Author.AuthorId = Jidouka.AuthorId JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE LOWER(GroupDC.GroupDCName) LIKE LOWER('%development a%');,"{Tables: [Author, Jidouka, GroupDC], Columns: [Author.AuthorName, Jidouka.AuthorId, Jidouka.GroupDCId, GroupDC.GroupDCId, GroupDC.GroupDCName], Foreign keys: [Jidouka.AuthorId=Author.AuthorId, Jidouka.GroupDCId=GroupDC.GroupDCId], Possible cell values: [Development A]}",What are the innovations created by this team?,SELECT Jidouka.ImprovementContent FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE LOWER(GroupDC.GroupDCName) LIKE LOWER('%development a%');
What is the approximate number of stars in the Milky Way?,I am not sure about the exact number of stars in the Milky Way.,,How many planets are in the Solar System?,There are 8 planets in the Solar System.
