question,right_answer,bot_response
List all tools used in innovations created after 2022.,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate > '2022-12-31';,SELECT DISTINCT Tool.ToolName FROM Tool JOIN JidoukaTool ON Tool.ToolId = JidoukaTool.ToolId JOIN Jidouka ON JidoukaTool.JidoukaId = Jidouka.JidoukaId WHERE Jidouka.DateCreate > '2022-01-01';
How many hours were saved by innovations applied in 'Team Alpha'?,SELECT SUM(Jidouka.TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Alpha%');,SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Alpha%');
Which jobs used 'Tool X'?,SELECT DISTINCT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');,SELECT Job.JobName FROM Job JOIN Jidouka ON Job.JobId = Jidouka.JobId JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName LIKE LOWER('%Tool X%');
What is the total number of jobs applied by innovations created by 'John Doe'?,SELECT SUM(Jidouka.TotalJobApplied) FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');,SELECT COUNT(Jidouka.TotalJobApplied) FROM Jidouka JOIN Author ON Jidouka.AuthorId = Author.AuthorId WHERE Author.AuthorName LIKE LOWER('%John Doe%');
List all the innovations created by 'Team Gamma' in 2023.,SELECT Jidouka.ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Team Gamma%') AND YEAR(Jidouka.DateCreate) = 2023;,SELECT ImprovementName FROM Jidouka JOIN GroupDC ON Jidouka.GroupDCId = GroupDC.GroupDCId WHERE GroupDC.GroupDCName LIKE LOWER('%Gamma%') AND YEAR(DateCreate) = 2023;
Find all the improvements applied in 'Software Y'.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.SoftwareUsing LIKE LOWER('%Software Y%');,SELECT ImprovementName FROM Jidouka WHERE SoftwareUsing LIKE LOWER('%Software Y%');
Which teams have innovations created before 2020?,SELECT DISTINCT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.DateCreate < '2020-01-01';,SELECT GroupDC.GroupDCName FROM GroupDC JOIN Jidouka ON GroupDC.GroupDCId = Jidouka.GroupDCId WHERE Jidouka.DateCreate < '2020-01-01';
Find the total time saved by all innovations using 'Tool A' and 'Tool B'.,"SELECT SUM(Jidouka.TotalTimeSaved) FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName IN ('Tool A', 'Tool B');","SELECT SUM(TotalTimeSaved) FROM Jidouka JOIN JidoukaTool ON Jidouka.JidoukaId = JidoukaTool.JidoukaId JOIN Tool ON JidoukaTool.ToolId = Tool.ToolId WHERE Tool.ToolName IN ('Tool A', 'Tool B');"
Which innovations have detailed documents available?,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.DetailDocument IS NOT NULL;,SELECT ImprovementName FROM Jidouka WHERE DetailDocument IS NOT NULL;
List all innovations that applied more than 5 jobs.,SELECT Jidouka.ImprovementName FROM Jidouka WHERE Jidouka.TotalJobApplied > 5;,SELECT ImprovementName FROM Jidouka WHERE TotalJobApplied > 5;
